Filepath,Filename,MassIVE,Taxaname_file,Taxa_NCBI,ReDU_Availability,Blank,QC,USI_full,file_usi
MSV000078931/ccms_peak/mzXMLs/140419_psycfu-2_100x_GD4_01_18192.mzXML,MSV000078931/140419_psycfu-2_100x_GD4_01_18192.mzXML,MSV000078931,Psychotria hoffmannseggiana,96295,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycfu-2_100x_GD4_01_18192.mzXML,mzspec:MSV000078931:140419_psycfu-2_100x_GD4_01_18192
MSV000078931/ccms_peak/mzXMLs/140419_psycfu-2_100x_GD4_01_18193.mzXML,MSV000078931/140419_psycfu-2_100x_GD4_01_18193.mzXML,MSV000078931,Psychotria hoffmannseggiana,96295,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycfu-2_100x_GD4_01_18193.mzXML,mzspec:MSV000078931:140419_psycfu-2_100x_GD4_01_18193
MSV000078931/ccms_peak/mzXMLs/140419_psycfu-3_100x_GD5_01_18195.mzXML,MSV000078931/140419_psycfu-3_100x_GD5_01_18195.mzXML,MSV000078931,Psychotria hoffmannseggiana,96295,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycfu-3_100x_GD5_01_18195.mzXML,mzspec:MSV000078931:140419_psycfu-3_100x_GD5_01_18195
MSV000078931/ccms_peak/mzXMLs/140419_psycfu-3_100x_GD5_01_18196.mzXML,MSV000078931/140419_psycfu-3_100x_GD5_01_18196.mzXML,MSV000078931,Psychotria hoffmannseggiana,96295,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycfu-3_100x_GD5_01_18196.mzXML,mzspec:MSV000078931:140419_psycfu-3_100x_GD5_01_18196
MSV000078931/ccms_peak/mzXMLs/140419_psycg1-1_100x_GD6_01_18198.mzXML,MSV000078931/140419_psycg1-1_100x_GD6_01_18198.mzXML,MSV000078931,Psychotria gracilenta,1129519,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycg1-1_100x_GD6_01_18198.mzXML,mzspec:MSV000078931:140419_psycg1-1_100x_GD6_01_18198
MSV000078931/ccms_peak/mzXMLs/140419_psycg1-1_100x_GD6_01_18199.mzXML,MSV000078931/140419_psycg1-1_100x_GD6_01_18199.mzXML,MSV000078931,Psychotria gracilenta,1129519,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140419_psycg1-1_100x_GD6_01_18199.mzXML,mzspec:MSV000078931:140419_psycg1-1_100x_GD6_01_18199
MSV000078931/ccms_peak/mzXMLs/140509_Zero_Injection_RA8_01_19037.mzXML,MSV000078931/140509_Zero_Injection_RA8_01_19037.mzXML,MSV000078931,Blank,Blank,Yes,Yes,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140509_Zero_Injection_RA8_01_19037.mzXML,mzspec:MSV000078931:140509_Zero_Injection_RA8_01_19037
MSV000078931/ccms_peak/mzXMLs/140529_Blank_GD8_01_19793.mzXML,MSV000078931/140529_Blank_GD8_01_19793.mzXML,MSV000078931,Blank,Blank,Yes,Yes,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140529_Blank_GD8_01_19793.mzXML,mzspec:MSV000078931:140529_Blank_GD8_01_19793
MSV000078931/ccms_peak/mzXMLs/140529_Blank_GD8_01_19796.mzXML,MSV000078931/140529_Blank_GD8_01_19796.mzXML,MSV000078931,Blank,Blank,Yes,Yes,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140529_Blank_GD8_01_19796.mzXML,mzspec:MSV000078931:140529_Blank_GD8_01_19796
MSV000078931/ccms_peak/mzXMLs/140531_cou2cu-1_100X_RA4_01_20717.mzXML,MSV000078931/140531_cou2cu-1_100X_RA4_01_20717.mzXML,MSV000078931,Coussarea curvigemmia,681427,Yes,No,No,mzspec:MSV000078931:ccms_peak/mzXMLs/140531_cou2cu-1_100X_RA4_01_20717.mzXML,mzspec:MSV000078931:140531_cou2cu-1_100X_RA4_01_20717
